station|station_name|ctry|state|lat|lon
70381025309|JUNEAU INTERNATIONAL|US|AK|58.354|-134.556
70261026411|FAIRBANKS INTERNATIONAL|US|AK|64.803|-147.876
70273026451|TED STEVENS ANCHORAGE INTL|US|AK|61.169|-150.028
72228013876|BIRMINGHAM INTERNATIONAL AIRPORT|US|AL|33.565|-86.745
72323003856|HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT|US|AL|34.644|-86.786
72340503930|LITTLE ROCK AFB AIRPORT|US|AR|34.917|-92.15
72278023183|PHOENIX SKY HARBOR INTL AIRPORT|US|AZ|33.428|-112.004
72274023160|TUCSON INTERNATIONAL AIRPORT|US|AZ|32.132|-110.956
72483993225|SACRAMENTO INTL AIRPORT|US|CA|38.701|-121.595
72290023188|SAN DIEGO INTERNATIONAL AIRPORT|US|CA|32.734|-117.183
72295023174|LOS ANGELES INTERNATIONAL AIRPORT|US|CA|33.938|-118.387
72297793184|J. WAYNE APT-ORANGE CO APT|US|CA|33.68|-117.867
72494023234|SAN FRANCISCO INTERNATIONAL AIRPORT|US|CA|37.62|-122.366
74704003102|ONTARIO INTERNATIONAL ARPT|US|CA|34.053|-117.577
72392523190|SANTA BARBARA MUNICIPAL AIRPORT|US|CA|34.424|-119.842
72389093193|FRESNO YOSEMITE INTERNATIONAL AIRPORT|US|CA|36.78|-119.72
72565003017|DENVER INTERNATIONAL AIRPORT|US|CO|39.847|-104.656
72466093037|CITY OF COLORADO SPRINGS MUNICIPAL AP|US|CO|38.809|-104.689
72508014740|BRADLEY INTERNATIONAL AIRPORT|US|CT|41.937|-72.682
72211012842|TAMPA INTERNATIONAL AIRPORT|US|FL|27.963|-82.54
72202012839|MIAMI INTERNATIONAL AIRPORT|US|FL|25.788|-80.317
72205012815|ORLANDO INTERNATIONAL AIRPORT|US|FL|28.418|-81.324
72206013889|JACKSONVILLE INTERNATIONAL AIRPORT|US|FL|30.495|-81.694
72222313899|PENSACOLA REGIONAL AIRPORT|US|FL|30.476|-87.186
74783012849|FT LAUD/HOLLYWOOD INTL APT|US|FL|26.079|-80.162
72207003822|SAVANNAH/HILTON HEAD INTL AIRPORT|US|GA|32.131|-81.202
72219013874|HARTSFIELD-JACKSON ATLANTA INTL AP|US|GA|33.63|-84.442
91182022521|HONOLULU INTERNATIONAL AIRPORT|US|HI|21.324|-157.939
91190022516|KAHULUI AIRPORT|US|HI|20.889|-156.435
91165022536|LIHUE AIRPORT|US|HI|21.98|-159.339
72545014990|EASTERN IOWA REGIONAL AIRPORT|US|IA|41.883|-91.725
72546014933|DES MOINES INTERNATIONAL AIRPORT|US|IA|41.534|-93.653
72681024131|BOISE AIR TERMINAL/GOWEN FD AIRPORT|US|ID|43.567|-116.241
72534014819|CHICAGO MIDWAY INTL ARPT|US|IL|41.784|-87.755
72439093822|ABRAHAM LINCOLN CAPITAL AIRPORT|US|IL|39.845|-89.684
72530094846|CHICAGO O'HARE INTERNATIONAL AIRPORT|US|IL|41.96|-87.932
72438093819|INDIANAPOLIS INTERNATIONAL AIRPORT|US|IN|39.725|-86.282
72533014827|FORT WAYNE INTERNATIONAL AIRPORT|US|IN|40.972|-85.206
72450003928|WICHITA EISENHOWER NATIONAL|US|KS|37.648|-97.43
72423093821|LOUISVILLE INTL-STANDIFORD FIELD AP|US|KY|38.177|-85.731
72421093814|CINCINNATI/NORTHERN KENTUCKY INTL AP|US|KY|39.044|-84.672
72231012916|LOUIS ARMSTRONG NEW ORLEANS INTL AP|US|LA|29.998|-90.278
72248013957|SHREVEPORT REGIONAL AIRPORT|US|LA|32.447|-93.824
72509014739|GEN E L LOGAN INTERNATIONAL AIRPORT|US|MA|42.361|-71.01
72406093721|BALTIMORE-WASHINGTON INTL AIRPORT|US|MD|39.173|-76.684
74594013705|ANDREWS AIR FORCE BASE AIRPORT|US|MD|38.817|-76.867
72606014764|PORTLAND INTERNATIONAL JETPORT AP|US|ME|43.642|-70.304
72635094860|GERALD R FORD INTERNATIONAL AIRPORT|US|MI|42.882|-85.523
72537094847|DETROIT METRO WAYNE COUNTY AIRPORT|US|MI|42.231|-83.331
72745014913|DULUTH INTERNATIONAL AIRPORT|US|MN|46.844|-92.187
72658014922|MINNEAPOLIS-ST PAUL INTERNATIONAL AP|US|MN|44.885|-93.231
72434013994|LAMBERT-ST LOUIS INTERNATIONAL AP|US|MO|38.752|-90.373
72446003947|KANSAS CITY INTERNATIONAL AIRPORT|US|MO|39.297|-94.731
74757093874|GULFPORT-BILOXI INTL ARPT|US|MS|30.412|-89.081
72235003940|JACKSON INTERNATIONAL AIRPORT|US|MS|32.32|-90.078
72679724132|GALLATIN FIELD AIRPORT|US|MT|45.788|-111.162
72677024033|BILLINGS LOGAN INTERNATIONAL AIRPORT|US|MT|45.807|-108.546
72314013881|CHARLOTTE/DOUGLAS INTERNATIONAL AP|US|NC|35.223|-80.954
72317013723|PIEDMONT TRIAD INTERNATIONAL AIRPORT|US|NC|36.097|-79.943
72302013748|WILMINGTON INTERNATIONAL AIRPORT|US|NC|34.267|-77.9
72306013722|RALEIGH-DURHAM INTERNATIONAL AP|US|NC|35.892|-78.782
72753014914|HECTOR INTERNATIONAL AIRPORT|US|ND|46.924|-96.812
72550014942|EPPLEY AIRFIELD AIRPORT|US|NE|41.312|-95.902
72551014939|LINCOLN MUNICIPAL AIRPORT|US|NE|40.848|-96.765
74394514710|MANCHESTER AIRPORT|US|NH|42.93|-71.436
72407093730|ATLANTIC CITY INTERNATIONAL AIRPORT|US|NJ|39.452|-74.567
72502014734|NEWARK LIBERTY INTERNATIONAL AP|US|NJ|40.683|-74.169
72409514792|TRENTON MERCER AIRPORT|US|NJ|40.277|-74.816
72365023050|ALBUQUERQUE INTL SUNPORT AIRPORT|US|NM|35.042|-106.615
72386023169|MCCARRAN INTERNATIONAL AIRPORT|US|NV|36.072|-115.163
72488023185|RENO/TAHOE INTERNATIONAL AIRPORT|US|NV|39.508|-119.768
72518014735|ALBANY INTERNATIONAL AIRPORT|US|NY|42.747|-73.799
72503014732|LA GUARDIA AIRPORT|US|NY|40.779|-73.88
72519014771|SYRACUSE HANCOCK INTERNATIONAL AP|US|NY|43.111|-76.104
72528014733|BUFFALO NIAGARA INTERNATIONAL AP|US|NY|42.94|-78.736
72529014768|GREATER ROCHESTER INTERNATIONAL AP|US|NY|43.117|-77.675
74486094789|JOHN F KENNEDY INTERNATIONAL AIRPORT|US|NY|40.639|-73.764
72428014821|PORT COLUMBUS INTERNATIONAL AIRPORT|US|OH|39.991|-82.877
72524014820|CLEVELAND-HOPKINS INTERNATIONAL AP|US|OH|41.406|-81.852
72429093815|J.M.COX DAYTON INTERNATIONAL AIRPORT|US|OH|39.906|-84.219
72356013968|TULSA INTERNATIONAL AIRPORT|US|OK|36.199|-95.878
72353013967|WILL ROGERS WORLD AIRPORT|US|OK|35.388|-97.6
72693024221|MAHLON SWEET FIELD AIRPORT|US|OR|44.133|-123.216
72698024229|PORTLAND INTERNATIONAL AIRPORT|US|OR|45.596|-122.609
72408013739|PHILADELPHIA INTERNATIONAL AIRPORT|US|PA|39.873|-75.227
72399014711|HARRISBURG INTERNATIONAL AIRPORT|US|PA|40.196|-76.772
72520094823|PITTSBURGH INTERNATIONAL AIRPORT|US|PA|40.485|-80.214
72507014765|THEODORE F GREEN STATE AIRPORT|US|RI|41.723|-71.432
72208013880|CHARLESTON AFB/INTERNATIONAL AIRPORT|US|SC|32.899|-80.041
72312003870|GREENVILLE-SPARTANBURG INTL AIRPORT|US|SC|34.906|-82.213
72651014944|JOE FOSS FIELD AIRPORT|US|SD|43.578|-96.754
72334013893|MEMPHIS INTERNATIONAL AIRPORT|US|TN|35.056|-89.986
72327013897|NASHVILLE INTERNATIONAL AIRPORT|US|TN|36.111|-86.688
72270023044|EL PASO INTERNATIONAL AIRPORT|US|TX|31.812|-106.377
72254013904|AUSTIN-BERGSTROM INTL AIRPORT|US|TX|30.183|-97.68
72253012921|SAN ANTONIO INTERNATIONAL AIRPORT|US|TX|29.544|-98.484
72259003927|DALLAS/FT WORTH INTERNATIONAL AP|US|TX|32.897|-97.022
72243012960|G BUSH INTERCONTINENTAL AP/HOUSTON AP|US|TX|29.984|-95.361
72572024127|SALT LAKE CITY INTERNATIONAL AIRPORT|US|UT|40.771|-111.965
72401693736|CHARLOTTESVILLE ALBEMARLE ARPT|US|VA|38.137|-78.455
72403093738|WASHINGTON DULLES INTERNATIONAL AP|US|VA|38.935|-77.447
72308693741|NWPT NEWS/WIMBURG INTL APT|US|VA|37.132|-76.494
72308013737|NORFOLK INTERNATIONAL AIRPORT|US|VA|36.904|-76.193
72401013740|RICHMOND INTERNATIONAL AIRPORT|US|VA|37.512|-77.323
72405013743|RONALD REAGAN WASHINGTON NATL AP|US|VA|38.847|-77.035
72617014742|BURLINGTON INTERNATIONAL AIRPORT|US|VT|44.468|-73.15
72785024157|SPOKANE INTERNATIONAL AIRPORT|US|WA|47.622|-117.528
72793024233|SEATTLE-TACOMA INTERNATIONAL AIRPORT|US|WA|47.445|-122.314
72645014898|AUSTIN STRAUBEL INTERNATIONAL AP|US|WI|44.48|-88.137
72640014839|GENERAL MITCHELL INTERNATIONAL AP|US|WI|42.955|-87.905
72414013866|YEAGER AIRPORT|US|WV|38.38|-81.591
72569024089|NATRONA COUNTY INTERNATIONAL AP|US|WY|42.898|-106.474
