"year","region","sub_region","state","station_name","jan_cnt","feb_cnt","mar_cnt","apr_cnt","may_cnt","jun_cnt","jul_cnt","aug_cnt","sep_cnt","oct_cnt","nov_cnt","dec_cnt","ttl_year"
"2005","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","6","4","4","0","1","0","0","0","0","1","4","4","24"
"2006","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","5","4","4","2","0","0","0","0","0","2","0","4","21"
"2007","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","7","4","5","2","0","0","0","2","0","1","4","6","31"
"2008","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","7","5","6","4","1","1","0","0","0","0","2","9","35"
"2009","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","8","10","7","2","0","0","0","0","0","4","1","3","35"
"2010","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","2","0","0","4","3","0","0","0","0","2","2","2","15"
"2011","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","2","5","4","7","0","0","0","1","1","1","1","5","27"
"2012","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","5","2","4","1","0","1","0","0","1","3","0","4","21"
"2013","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","8","7","2","4","0","2","0","0","0","2","3","3","31"
"2014","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","9","8","6","1","0","0","0","0","0","0","6","4","34"
"2015","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","7","3","5","3","0","2","0","0","0","2","3","7","32"
"2016","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","3","4","2","6","0","0","0","0","1","0","2","8","26"
"2017","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","5","7","5","2","1","0","1","0","0","0","4","5","30"
"2018","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","5","8","4","2","0","0","0","0","0","2","4","5","30"
"2019","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","4","8","3","1","4","1","1","0","2","2","4","3","33"
"2020","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","6","3","2","0","0","0","0","0","1","3","4","3","22"
"2021","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","5","6","2","1","2","0","0","1","0","0","2","8","27"
"2022","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","8","6","6","3","0","0","0","0","0","1","3","4","31"
"2023","MIDWEST","EAST NORTH CENTRAL","IL","CHICAGO O'HARE INTERNATIONAL AIRPORT","4","8","4","2","1","1","0","0","0","0","0","0","20"
